window_days,threshold_mm,FPR,POD
2,33.7000,0.1398,0.4859
2,33.3000,0.1414,0.4890
2,32.8000,0.1432,0.5016
2,32.6000,0.1441,0.5078
2,32.2000,0.1461,0.5141
2,31.9000,0.1473,0.5172
2,31.4000,0.1494,0.5266
2,31.1000,0.1508,0.5298
2,30.6000,0.1526,0.5329
2,30.3000,0.1536,0.5455
2,29.9000,0.1555,0.5549
2,29.7000,0.1567,0.5580
2,29.3000,0.1583,0.5643
3,245.0000,0.0018,0.0031
3,217.0000,0.0034,0.0094
3,195.7000,0.0050,0.0219
3,179.7000,0.0067,0.0282
3,170.2000,0.0083,0.0376
3,163.5000,0.0098,0.0470
3,157.2000,0.0114,0.0596
3,152.0000,0.0130,0.0721
3,146.7000,0.0147,0.0752
3,143.4000,0.0164,0.0784
3,139.9000,0.0181,0.0815
3,137.4000,0.0196,0.0940
3,135.2000,0.0213,0.1003
3,131.4000,0.0230,0.1066
3,127.1000,0.0246,0.1160
3,124.5000,0.0263,0.1223
3,121.3000,0.0278,0.1348
3,119.0000,0.0297,0.1348
3,116.7000,0.0313,0.1411
3,114.5000,0.0329,0.1473
3,112.7000,0.0346,0.1505
3,110.5000,0.0366,0.1505
3,108.7000,0.0382,0.1567
3,106.4000,0.0397,0.1693
3,104.7000,0.0413,0.1755
3,102.8000,0.0431,0.1787
3,101.0000,0.0450,0.1850
3,99.3000,0.0465,0.1881
3,97.4000,0.0483,0.1912
3,95.7000,0.0498,0.2038
3,94.1000,0.0515,0.2069
3,93.1000,0.0535,0.2069
3,91.4000,0.0550,0.2132
3,90.4000,0.0568,0.2163
3,89.3000,0.0585,0.2257
3,88.4000,0.0599,0.2351
3,87.5000,0.0614,0.2476
3,86.2000,0.0631,0.2571
3,85.0000,0.0649,0.2571
3,83.9000,0.0665,0.2665
3,83.0000,0.0682,0.2696
3,81.9000,0.0699,0.2759
3,80.9000,0.0717,0.2853
3,80.2000,0.0732,0.2915
3,79.3000,0.0749,0.2947
3,78.3000,0.0766,0.3009
3,77.5000,0.0782,0.3072
3,76.3000,0.0801,0.3072
3,75.6000,0.0818,0.3072
3,74.7000,0.0838,0.3072
3,73.9000,0.0854,0.3103
3,73.3000,0.0871,0.3135
3,72.5000,0.0888,0.3135
3,71.6000,0.0905,0.3197
3,71.0000,0.0924,0.3197
3,70.4000,0.0938,0.3229
