window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,38.7000,58,713,261,15039,0.1818,0.9248,0.0562,0.0806,0.0420,0.0453
1,39.2000,56,696,263,15056,0.1755,0.9255,0.0552,0.0789,0.0411,0.0442
1,39.9000,53,676,266,15076,0.1661,0.9273,0.0533,0.0756,0.0393,0.0429
1,40.6000,52,650,267,15102,0.1630,0.9259,0.0537,0.0767,0.0399,0.0413
1,41.3000,50,628,269,15124,0.1567,0.9263,0.0528,0.0753,0.0391,0.0399
1,41.9000,47,608,272,15144,0.1473,0.9282,0.0507,0.0717,0.0372,0.0386
1,42.6000,44,582,275,15170,0.1379,0.9297,0.0488,0.0686,0.0355,0.0369
1,43.1000,44,564,275,15188,0.1379,0.9276,0.0498,0.0707,0.0367,0.0358
1,44.2000,43,543,276,15209,0.1348,0.9266,0.0499,0.0712,0.0369,0.0345
1,45.1000,43,518,276,15234,0.1348,0.9234,0.0514,0.0743,0.0386,0.0329
1,46.0000,42,496,277,15256,0.1317,0.9219,0.0515,0.0750,0.0389,0.0315
1,47.0000,40,476,279,15276,0.1254,0.9225,0.0503,0.0731,0.0379,0.0302
1,48.1000,40,454,279,15298,0.1254,0.9190,0.0517,0.0761,0.0396,0.0288
1,49.0000,40,428,279,15324,0.1254,0.9145,0.0535,0.0799,0.0416,0.0272
1,50.2000,34,411,285,15341,0.1066,0.9236,0.0466,0.0674,0.0349,0.0261
1,51.2000,33,387,286,15365,0.1034,0.9214,0.0467,0.0683,0.0354,0.0246
1,52.3000,31,366,288,15386,0.0972,0.9219,0.0453,0.0660,0.0341,0.0232
1,53.5000,30,345,289,15407,0.0940,0.9200,0.0452,0.0664,0.0344,0.0219
1,55.0000,29,322,290,15430,0.0909,0.9174,0.0452,0.0672,0.0348,0.0204
1,56.2000,26,303,293,15449,0.0815,0.9210,0.0418,0.0613,0.0316,0.0192
1,57.4000,24,279,295,15473,0.0752,0.9208,0.0401,0.0590,0.0304,0.0177
1,58.7000,23,258,296,15494,0.0721,0.9181,0.0399,0.0592,0.0305,0.0164
1,60.7000,21,236,298,15516,0.0658,0.9183,0.0378,0.0562,0.0289,0.0150
1,63.1000,19,215,300,15537,0.0596,0.9188,0.0356,0.0528,0.0271,0.0136
1,64.5000,19,193,300,15559,0.0596,0.9104,0.0371,0.0566,0.0291,0.0123
1,66.9000,15,172,304,15580,0.0470,0.9198,0.0305,0.0453,0.0232,0.0109
1,69.8000,14,149,305,15603,0.0439,0.9141,0.0299,0.0453,0.0232,0.0095
1,73.7000,10,131,309,15621,0.0313,0.9291,0.0222,0.0317,0.0161,0.0083
1,77.3000,9,108,310,15644,0.0282,0.9231,0.0211,0.0310,0.0157,0.0069
1,81.7000,6,87,313,15665,0.0188,0.9355,0.0148,0.0203,0.0103,0.0055
1,88.6000,6,65,313,15687,0.0188,0.9155,0.0156,0.0237,0.0120,0.0041
1,94.8000,5,42,314,15710,0.0157,0.8936,0.0139,0.0223,0.0113,0.0027
1,109.7000,3,21,316,15731,0.0094,0.8750,0.0088,0.0148,0.0074,0.0013
2,29.3000,180,2494,139,13258,0.5643,0.9327,0.0640,0.0879,0.0460,0.1583
2,29.7000,178,2469,141,13283,0.5580,0.9328,0.0638,0.0877,0.0459,0.1567
2,29.9000,177,2450,142,13302,0.5549,0.9326,0.0639,0.0879,0.0460,0.1555
