window_days,threshold_mm,cal_CSI,cal_HSS,POD,FAR,CSI,HSS,ETS,POD_lo,POD_hi,CSI_lo,CSI_hi,HSS_lo,HSS_hi
1,24.7000,0.0628,0.0882,0.3411,0.8393,0.1226,0.1951,0.1081,0.2786,0.4054,0.0962,0.1524,0.0306,0.1196
2,43.3000,0.0657,0.0926,0.3878,0.8426,0.1261,0.1996,0.1109,0.3174,0.4602,0.0990,0.1559,0.0301,0.1203
3,43.9000,0.0649,0.0894,0.5539,0.8581,0.1273,0.1987,0.1103,0.4805,0.6261,0.1029,0.1534,0.0190,0.0891
5,151.7000,0.0685,0.1025,0.2274,0.7803,0.1258,0.2063,0.1150,0.1604,0.2990,0.0887,0.1667,0.0533,0.1871
7,159.8000,0.0727,0.1061,0.3644,0.8242,0.1346,0.2146,0.1202,0.2874,0.4472,0.1015,0.1721,0.0405,0.1572
