index,n_years,mean,MK_S,MK_Z,MK_p,trend,Sens_slope_per_year,Pettitt_K,Pettitt_change_year,Pettitt_p
PRCPTOT,75,3645.5036,-551.0000,-2.5159,0.0119,decreasing,-8.8933,528.0000,2004,0.0400
RX1day,75,108.8539,-7.0000,-0.0274,0.9781,no significant trend,-0.0073,216.0000,1955,1.0000
RX5day,75,316.5032,-285.0000,-1.2991,0.1939,no significant trend,-0.5446,352.0000,2004,0.3514
R95p,75,760.9006,-411.0000,-1.8755,0.0607,no significant trend,-4.0274,400.0000,2004,0.2117
R99p,75,219.9438,-173.0000,-0.7890,0.4301,no significant trend,-0.2456,308.0000,1999,0.5282
SDII,75,17.2432,-563.0000,-2.5708,0.0101,decreasing,-0.0341,532.0000,2004,0.0377
CDD,75,45.8400,166.0000,0.7554,0.4500,no significant trend,0.0488,331.0000,1998,0.4298
CWD,75,122.4800,-335.0000,-1.5283,0.1264,no significant trend,-0.2553,413.0000,2011,0.1825
premonsoon_mm,75,1167.3184,-361.0000,-1.6467,0.0996,no significant trend,-3.5217,418.0000,2005,0.1722
