window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,38.1000,42,483,174,15372,0.1944,0.9200,0.0601,0.0961,0.0505,0.0305
1,38.7000,42,471,174,15384,0.1944,0.9181,0.0611,0.0982,0.0516,0.0297
1,39.2000,40,458,176,15397,0.1852,0.9197,0.0593,0.0951,0.0499,0.0289
1,40.0000,39,441,177,15414,0.1806,0.9187,0.0594,0.0953,0.0500,0.0278
1,40.8000,38,427,178,15428,0.1759,0.9183,0.0591,0.0950,0.0499,0.0269
1,41.4000,36,412,180,15443,0.1667,0.9196,0.0573,0.0920,0.0482,0.0260
1,42.0000,34,398,182,15457,0.1574,0.9213,0.0554,0.0886,0.0464,0.0251
1,42.6000,31,384,185,15471,0.1435,0.9253,0.0517,0.0820,0.0428,0.0242
1,43.2000,31,366,185,15489,0.1435,0.9219,0.0533,0.0852,0.0445,0.0231
1,44.3000,30,354,186,15501,0.1389,0.9219,0.0526,0.0842,0.0440,0.0223
1,45.2000,30,336,186,15519,0.1389,0.9180,0.0543,0.0877,0.0458,0.0212
1,46.5000,30,322,186,15533,0.1389,0.9148,0.0558,0.0905,0.0474,0.0203
1,47.3000,29,308,187,15547,0.1343,0.9139,0.0553,0.0900,0.0471,0.0194
1,48.4000,29,291,187,15564,0.1343,0.9094,0.0572,0.0937,0.0491,0.0184
1,49.4000,26,279,190,15576,0.1204,0.9148,0.0525,0.0854,0.0446,0.0176
1,50.6000,23,265,193,15590,0.1065,0.9201,0.0478,0.0771,0.0401,0.0167
1,51.5000,22,250,194,15605,0.1019,0.9191,0.0472,0.0763,0.0397,0.0158
1,52.5000,21,235,195,15620,0.0972,0.9180,0.0466,0.0755,0.0392,0.0148
1,54.0000,21,219,195,15636,0.0972,0.9125,0.0483,0.0791,0.0412,0.0138
1,55.3000,19,206,197,15649,0.0880,0.9156,0.0450,0.0735,0.0381,0.0130
1,56.5000,17,192,199,15663,0.0787,0.9187,0.0417,0.0677,0.0350,0.0121
1,57.5000,15,177,201,15678,0.0694,0.9219,0.0382,0.0617,0.0318,0.0112
1,59.2000,15,161,201,15694,0.0694,0.9148,0.0398,0.0652,0.0337,0.0102
1,61.4000,14,145,202,15710,0.0648,0.9119,0.0388,0.0640,0.0331,0.0091
1,63.2000,14,130,202,15725,0.0648,0.9028,0.0405,0.0678,0.0351,0.0082
