window_days,threshold_mm,cal_CSI,cal_HSS,POD,FAR,CSI,HSS,ETS,POD_lo,POD_hi,CSI_lo,CSI_hi,HSS_lo,HSS_hi
1,28.8000,0.0662,0.1049,0.3474,0.8451,0.1200,0.2012,0.1119,0.2638,0.4354,0.0818,0.1575,0.0146,0.1295
2,43.5000,0.0672,0.1055,0.4842,0.8504,0.1290,0.2144,0.1201,0.3885,0.5798,0.0932,0.1658,0.0184,0.1230
3,86.1000,0.0705,0.1131,0.3158,0.8361,0.1210,0.2034,0.1132,0.2195,0.4167,0.0779,0.1641,0.0091,0.1529
5,155.9000,0.0807,0.1327,0.2895,0.7868,0.1399,0.2351,0.1332,0.1875,0.3924,0.0870,0.1938,0.0449,0.2246
7,205.6000,0.0897,0.1477,0.3474,0.7651,0.1630,0.2700,0.1560,0.2475,0.4511,0.1103,0.2204,0.0834,0.2601
