window_days,threshold_mm,FPR,POD
2,36.8000,0.0908,0.4861
2,36.4000,0.0918,0.4907
2,36.0000,0.0927,0.4907
2,35.7000,0.0940,0.4907
2,35.3000,0.0951,0.4907
2,34.9000,0.0962,0.4954
2,34.4000,0.0974,0.4954
2,34.0000,0.0982,0.5000
2,33.6000,0.0992,0.5093
2,33.3000,0.1004,0.5093
2,32.9000,0.1014,0.5185
2,32.6000,0.1024,0.5324
2,32.3000,0.1034,0.5370
3,250.2000,0.0011,0.0000
3,224.1000,0.0022,0.0046
3,200.1000,0.0031,0.0231
3,186.9000,0.0042,0.0278
3,173.1000,0.0053,0.0278
3,165.9000,0.0062,0.0509
3,159.0000,0.0071,0.0602
3,153.3000,0.0079,0.0833
3,149.1000,0.0090,0.0880
3,145.0000,0.0100,0.0926
3,142.3000,0.0111,0.1019
3,139.2000,0.0121,0.1111
3,137.0000,0.0131,0.1204
3,135.2000,0.0142,0.1250
3,132.2000,0.0151,0.1343
3,128.1000,0.0162,0.1435
3,125.5000,0.0172,0.1528
3,122.4000,0.0183,0.1574
3,120.5000,0.0194,0.1620
3,118.4000,0.0204,0.1667
3,115.8000,0.0216,0.1667
3,114.2000,0.0226,0.1713
3,112.6000,0.0237,0.1759
3,110.6000,0.0249,0.1759
3,108.7000,0.0259,0.1806
3,106.1000,0.0269,0.1944
3,104.4000,0.0279,0.1991
3,102.7000,0.0289,0.2037
3,101.1000,0.0300,0.2130
3,99.8000,0.0310,0.2176
3,97.7000,0.0320,0.2176
3,96.3000,0.0332,0.2222
3,95.2000,0.0342,0.2315
3,93.6000,0.0353,0.2361
3,92.5000,0.0366,0.2361
3,91.2000,0.0375,0.2407
3,90.4000,0.0387,0.2454
3,89.4000,0.0397,0.2500
3,88.8000,0.0406,0.2685
3,88.1000,0.0417,0.2685
3,87.4000,0.0426,0.2870
3,86.1000,0.0436,0.2963
3,85.2000,0.0447,0.2963
3,84.1000,0.0459,0.3056
3,83.2000,0.0469,0.3056
3,82.4000,0.0480,0.3056
3,81.5000,0.0489,0.3194
3,80.7000,0.0501,0.3241
3,80.0000,0.0513,0.3287
3,79.4000,0.0522,0.3333
3,78.5000,0.0532,0.3426
3,77.6000,0.0543,0.3472
3,76.6000,0.0554,0.3472
3,75.8000,0.0566,0.3472
3,75.2000,0.0575,0.3472
3,74.6000,0.0588,0.3472
3,73.8000,0.0599,0.3519
3,73.3000,0.0610,0.3519
3,72.7000,0.0622,0.3519
3,72.0000,0.0632,0.3519
3,71.3000,0.0644,0.3519
3,70.8000,0.0656,0.3519
3,70.1000,0.0667,0.3565
3,69.7000,0.0677,0.3611
3,68.8000,0.0689,0.3611
3,68.2000,0.0699,0.3750
3,67.6000,0.0708,0.3796
3,67.1000,0.0720,0.3796
3,66.3000,0.0730,0.3796
3,65.8000,0.0739,0.3935
3,65.3000,0.0750,0.3981
3,64.9000,0.0762,0.3981
3,64.2000,0.0775,0.4028
3,63.6000,0.0783,0.4120
3,62.9000,0.0794,0.4213
3,62.5000,0.0804,0.4306
3,62.1000,0.0814,0.4352
3,61.5000,0.0825,0.4398
3,60.9000,0.0835,0.4491
3,60.3000,0.0848,0.4491
3,59.8000,0.0857,0.4537
3,59.4000,0.0868,0.4583
3,58.8000,0.0880,0.4583
3,58.2000,0.0889,0.4769
3,57.9000,0.0898,0.4769
3,57.4000,0.0907,0.4861
3,57.1000,0.0917,0.5046
3,56.4000,0.0927,0.5093
3,56.0000,0.0939,0.5093
3,55.4000,0.0952,0.5093
3,54.7000,0.0962,0.5093
3,54.1000,0.0973,0.5231
3,53.6000,0.0984,0.5231
3,53.1000,0.0993,0.5278
3,52.3000,0.1005,0.5370
3,51.9000,0.1014,0.5370
3,51.3000,0.1026,0.5417
3,50.8000,0.1038,0.5463
3,50.2000,0.1046,0.5602
3,49.9000,0.1056,0.5602
5,343.7000,0.0012,0.0000
5,302.0000,0.0023,0.0000
5,278.9000,0.0033,0.0139
5,264.2000,0.0042,0.0278
5,253.7000,0.0053,0.0370
5,242.9000,0.0062,0.0509
5,234.4000,0.0073,0.0602
5,226.1000,0.0083,0.0694
5,221.4000,0.0091,0.0926
5,214.9000,0.0102,0.1019
5,210.2000,0.0112,0.1111
5,206.5000,0.0122,0.1204
5,203.8000,0.0133,0.1296
5,200.3000,0.0143,0.1343
5,196.5000,0.0153,0.1389
5,192.8000,0.0165,0.1435
5,189.9000,0.0175,0.1481
5,186.8000,0.0185,0.1620
5,182.9000,0.0196,0.1713
5,180.8000,0.0207,0.1759
5,177.8000,0.0218,0.1759
5,174.9000,0.0230,0.1759
5,172.6000,0.0240,0.1852
5,169.1000,0.0250,0.1898
5,167.1000,0.0260,0.2083
5,164.8000,0.0271,0.2130
5,162.4000,0.0279,0.2176
5,160.1000,0.0291,0.2361
5,157.9000,0.0300,0.2454
5,155.9000,0.0309,0.2639
5,153.9000,0.0320,0.2685
5,152.3000,0.0331,0.2731
5,150.6000,0.0341,0.2824
5,149.7000,0.0353,0.2824
5,148.3000,0.0365,0.2870
5,146.0000,0.0375,0.2917
5,144.3000,0.0385,0.3009
5,142.8000,0.0395,0.3056
5,141.7000,0.0407,0.3056
