year,PRCPTOT,RX1day,RX5day,R95p,R99p,SDII,CDD,CWD,premonsoon_mm
1981,3273.5136595213285,108.596236607754,283.10955085704666,860.948647751753,315.39957091786295,19.601878200726517,20,25,1176.1179703820446
1982,3543.172049728469,157.48216721861317,370.0652879398809,890.5894759993448,437.7207953166332,21.34440993812331,47,17,1048.0312361838205
1983,3791.2303785933427,78.5878828504625,303.7605581901865,427.7772166697186,0.0,19.542424631924447,25,47,1047.3713149765563
1984,3875.2866843312318,146.68649060190938,338.7662956294407,914.0475751434763,337.5032096334921,21.061340675713215,32,62,1144.6515463927744
1985,3447.8220146769663,93.27758342155724,246.14602183985374,467.3898572415071,0.0,20.045476829517245,26,15,1064.5848471110703
1986,3788.589788419775,141.92852060116593,372.6151899775316,857.6616189361096,464.17342160405144,22.686166397723202,48,25,925.5997392236745
1987,3481.8184086456135,172.29402278333563,329.88139029908206,551.0619979991842,172.29402278333563,20.243130282823333,30,21,907.7926475187029
1988,4822.55208338499,183.1369341102942,492.4417726901168,2192.989690705984,1204.4735940928692,28.70566716300589,40,43,1516.713729210431
1989,3788.2871796344252,138.75862166961593,340.437477848493,988.4369695669907,243.40002487775845,21.28251224513722,27,28,644.1830476169915
1990,3410.168580384601,99.05303192293104,230.97640481830354,646.651216922613,99.05303192293104,18.53352489339457,28,33,1078.0535963928087
1991,3812.4749365292328,145.8245559956689,326.2978823631486,799.6873977817894,247.58816393408785,20.947664486424355,53,54,1122.5801425468335
1992,2746.683554397321,105.57550310774845,223.75239723004702,259.38046700586034,105.57550310774845,17.60694586152129,29,25,683.9636805896664
1993,4088.1966626069743,141.77901842832622,362.28031805247525,1428.5525389656734,141.77901842832622,23.631194581543205,41,19,1266.5360214706639
1994,2999.1282211389653,88.32940492853103,188.1565018619816,378.14303057327686,0.0,17.436791983366078,30,45,845.7302196092339
1995,3797.033438319092,140.02245978667057,426.69357709470097,1070.5391211145322,278.17881543488545,20.524505071995094,27,29,648.2558069479571
1996,3566.225106216675,92.77699269410309,295.05478000943504,624.7591450441139,0.0,21.227530394146875,50,33,870.3085860866702
1997,3901.251303047366,104.38965784873564,377.12768827539225,635.6730797808503,104.38965784873564,22.040967813826928,20,14,878.9769543497694
1998,3510.4754871130604,112.37577259833908,253.0948054015123,643.8977569030453,212.76568383610123,19.721772399511575,30,40,1235.6514129508025
1999,3639.915556905671,89.51654116440892,295.7657919852535,542.931434695342,0.0,19.78214976579169,36,50,890.2745501887981
2000,4187.475006618208,130.5332704945987,343.58830648934173,997.8014848333195,564.7923134600819,21.474230803170297,23,56,1359.7307767201548
2001,3472.230887169051,89.47885289762642,286.0229724003356,521.7712227494974,0.0,19.84131935525172,45,36,802.870800991884
2002,3897.5745673316806,103.36201742971495,301.5621388215343,705.166657664784,199.5412220047991,22.145310041657275,37,27,1312.6574953043569
2003,3514.6228000118494,129.33350568082292,326.1027340677934,388.62412831141626,129.33350568082292,18.89582150544005,46,30,816.9248853333024
2004,4588.529608918712,126.55403017386188,351.3526011534929,1305.4567520018536,443.05199672919235,25.073932289173293,40,46,1426.8342314573574
2005,3480.2294103327904,102.26327662402996,239.97668313106547,245.82972315054693,102.26327662402996,19.017647050998853,54,29,1302.8420951146772
2006,3155.544174042653,96.10006636352354,242.7248095960833,644.9739845380725,96.10006636352354,18.562024553192078,49,43,997.7973917814837
2007,4266.647089348518,122.61074327678618,303.6295139254152,1007.530964748623,219.12169657169676,23.315011417205017,45,40,1182.9320555196766
2008,3230.3010460963123,78.18446955086952,195.6168895859192,218.65711318894643,0.0,17.367209925248993,65,37,714.217877555545
2009,3427.362846937204,114.36952233597866,223.10075693623992,328.0798642109569,114.36952233597866,20.400969327007164,54,40,975.2924426264306
2010,4365.148823032608,140.73581546028788,240.75847911924325,644.4952745878933,140.73581546028788,21.825744115163037,39,70,1389.0567854628325
2011,3620.712617990801,95.86951759843934,246.80405654071868,316.3319317166652,95.86951759843934,22.077515963358543,70,36,814.1004720960017
2012,3846.4696433461568,71.25917828081309,205.29273887767283,139.0225600836947,0.0,19.426614360334124,35,45,1124.0837445862785
2013,3757.33475670981,112.33293564229078,303.91856806020553,752.34187732201,304.4377680025318,20.99069696485927,43,34,1104.3724998592554
2014,3872.708262086172,128.18819249990037,385.87369122263436,919.230173629965,320.87676694513715,22.647416737346035,63,30,890.5758263636772
2015,3753.532011303594,112.8261400855113,291.66782693619376,696.8691593590903,112.8261400855113,21.950479598266632,31,25,1228.4043469037572
2016,3591.6158175031705,111.97279079416612,243.32054223360237,194.19125263371228,111.97279079416612,19.003258293667567,34,25,1163.0992023832703
2017,4781.604101127973,158.08663146095446,308.620247210007,1468.772128545114,350.8805981697378,24.39593929146925,34,33,1192.9843072951433
2018,3095.8384668466124,90.83750383319096,265.8288017699826,444.11996510992924,0.0,18.318570809743267,37,24,978.6384339018821
2019,3477.108203404594,133.6566189130836,368.1631600417665,792.0941655559502,240.71224394759068,19.210542560246374,35,22,1079.6600784429215
2020,3847.538515669339,136.2304472185153,259.6036045157691,859.2940160601738,242.94009840388793,21.024800632072893,36,52,747.549760676298
2021,2924.2504693139463,76.38313191932461,177.34684517768892,140.8907613820286,0.0,17.72273011705422,32,28,690.3737087955392
2022,3609.9688277933024,108.89915241468717,316.902990921751,643.8513119068152,215.0519173495809,19.834993559303857,36,25,828.0211373224004
2023,3466.9997562309613,118.75500505357532,411.20645289730476,1170.8576470201488,438.87943895245525,21.269937154791172,51,19,623.7978213274081
2024,3699.6161250147975,172.17542728357756,391.0882237148593,909.7429836076263,299.2229300828075,21.50939607566743,56,32,891.1890991306456
