index,n_years,mean,MK_S,MK_Z,MK_p,trend,Sens_slope_per_year,Pettitt_K,Pettitt_change_year,Pettitt_p
PRCPTOT,44,3686.6997,-14.0000,-0.1315,0.8954,no significant trend,-0.4511,99.0000,2017,1.0000
RX1day,44,118.2134,-88.0000,-0.8799,0.3789,no significant trend,-0.2716,159.0000,1993,0.3506
RX5day,44,301.9658,-78.0000,-0.7788,0.4361,no significant trend,-0.9182,152.0000,2004,0.4074
R95p,44,719.0253,-76.0000,-0.7586,0.4481,no significant trend,-3.6589,111.0000,1995,0.8561
R99p,44,206.9835,-33.0000,-0.3257,0.7446,no significant trend,0.0000,117.0000,1989,0.7791
SDII,44,20.7561,-14.0000,-0.1315,0.8954,no significant trend,-0.0032,71.0000,2017,1.0000
CDD,44,39.2955,237.0000,2.3890,0.0169,increasing,0.3000,282.0000,2000,0.0084
CWD,44,34.2955,-26.0000,-0.2534,0.8000,no significant trend,0.0000,141.0000,2013,0.5086
premonsoon_mm,44,1014.3951,-92.0000,-0.9204,0.3574,no significant trend,-3.2362,143.0000,2019,0.4891
