window_days,threshold_mm,FPR,POD
2,14.1000,0.0705,0.5631
2,13.9000,0.0713,0.5631
2,13.7000,0.0719,0.5631
2,13.4000,0.0729,0.5728
2,13.3000,0.0735,0.5825
2,13.1000,0.0742,0.5825
2,12.9000,0.0751,0.6117
2,12.7000,0.0757,0.6311
2,12.5000,0.0768,0.6311
2,12.3000,0.0773,0.6408
3,107.3000,0.0009,0.0000
3,99.8000,0.0017,0.0000
3,93.8000,0.0026,0.0000
3,88.6000,0.0033,0.0097
3,84.2000,0.0042,0.0194
3,81.1000,0.0050,0.0291
3,78.1000,0.0058,0.0388
3,76.0000,0.0066,0.0388
3,73.0000,0.0073,0.0874
3,71.5000,0.0082,0.0874
3,68.9000,0.0090,0.0971
3,67.5000,0.0098,0.1068
3,65.2000,0.0106,0.1068
3,63.7000,0.0115,0.1068
3,62.2000,0.0123,0.1165
3,60.6000,0.0132,0.1165
3,58.9000,0.0140,0.1165
3,57.8000,0.0149,0.1165
3,56.5000,0.0157,0.1165
3,55.7000,0.0166,0.1165
3,55.0000,0.0174,0.1165
3,53.8000,0.0182,0.1262
3,52.9000,0.0190,0.1262
3,51.8000,0.0199,0.1262
3,51.1000,0.0208,0.1262
3,50.1000,0.0216,0.1262
3,48.8000,0.0224,0.1359
3,48.1000,0.0233,0.1359
3,47.1000,0.0241,0.1359
3,46.2000,0.0249,0.1456
3,45.6000,0.0258,0.1553
3,44.8000,0.0266,0.1553
3,44.2000,0.0273,0.1650
3,43.6000,0.0281,0.1650
3,42.8000,0.0291,0.1650
3,42.0000,0.0299,0.1650
3,41.6000,0.0307,0.1650
3,40.7000,0.0317,0.1650
3,40.3000,0.0325,0.1650
3,39.7000,0.0333,0.1650
3,39.3000,0.0341,0.1845
3,38.6000,0.0350,0.1845
3,38.0000,0.0359,0.1845
3,37.4000,0.0366,0.1942
3,36.9000,0.0376,0.1942
3,36.4000,0.0383,0.2136
3,35.9000,0.0390,0.2330
3,35.3000,0.0399,0.2330
3,34.7000,0.0407,0.2330
3,34.2000,0.0415,0.2330
3,33.7000,0.0423,0.2621
3,33.1000,0.0431,0.2621
3,32.6000,0.0439,0.2718
3,32.1000,0.0448,0.2913
3,31.7000,0.0456,0.2913
3,31.3000,0.0464,0.3107
3,30.7000,0.0472,0.3204
3,30.2000,0.0480,0.3398
3,29.7000,0.0487,0.3592
3,29.4000,0.0495,0.3592
3,29.0000,0.0505,0.3592
3,28.6000,0.0512,0.3592
3,28.2000,0.0520,0.3592
3,27.8000,0.0530,0.3592
3,27.5000,0.0538,0.3786
3,27.2000,0.0546,0.3883
3,26.8000,0.0553,0.3981
3,26.4000,0.0562,0.4078
3,26.1000,0.0570,0.4175
3,25.7000,0.0578,0.4175
3,25.4000,0.0588,0.4272
3,25.2000,0.0594,0.4369
3,24.9000,0.0602,0.4369
3,24.5000,0.0611,0.4466
3,24.3000,0.0618,0.4660
3,23.9000,0.0628,0.4660
3,23.7000,0.0635,0.4757
3,23.4000,0.0645,0.4951
3,23.2000,0.0651,0.4951
3,22.9000,0.0661,0.5146
3,22.6000,0.0668,0.5146
3,22.3000,0.0677,0.5340
3,22.1000,0.0685,0.5340
3,21.7000,0.0693,0.5340
3,21.5000,0.0700,0.5340
3,21.2000,0.0709,0.5340
3,21.0000,0.0717,0.5437
3,20.7000,0.0728,0.5534
3,20.5000,0.0733,0.5534
3,20.2000,0.0743,0.6019
3,20.0000,0.0749,0.6214
3,19.7000,0.0757,0.6408
3,19.5000,0.0765,0.6505
3,19.2000,0.0772,0.6602
3,18.8000,0.0782,0.6699
3,18.6000,0.0788,0.6699
3,18.2000,0.0800,0.6699
3,18.0000,0.0805,0.6699
3,17.7000,0.0816,0.6699
3,17.5000,0.0824,0.6699
5,160.6000,0.0009,0.0000
5,148.4000,0.0018,0.0000
5,136.5000,0.0027,0.0000
5,129.2000,0.0036,0.0097
5,124.9000,0.0044,0.0388
5,120.6000,0.0052,0.0680
5,115.9000,0.0061,0.0680
5,113.2000,0.0069,0.0971
5,109.6000,0.0079,0.0971
5,105.7000,0.0088,0.0971
5,102.6000,0.0097,0.0971
5,100.5000,0.0106,0.0971
5,97.9000,0.0115,0.0971
5,95.4000,0.0123,0.1068
5,93.1000,0.0132,0.1165
5,90.5000,0.0141,0.1262
5,88.9000,0.0151,0.1262
5,87.1000,0.0160,0.1262
5,85.4000,0.0168,0.1262
5,84.0000,0.0178,0.1262
5,82.5000,0.0187,0.1262
5,81.1000,0.0196,0.1262
5,79.6000,0.0204,0.1359
5,78.6000,0.0214,0.1359
5,77.3000,0.0222,0.1359
5,76.4000,0.0230,0.1359
5,75.1000,0.0241,0.1359
5,74.0000,0.0250,0.1359
5,72.5000,0.0259,0.1359
5,71.3000,0.0269,0.1359
5,70.3000,0.0277,0.1359
5,69.1000,0.0287,0.1359
5,67.9000,0.0295,0.1359
5,67.0000,0.0304,0.1456
5,66.0000,0.0314,0.1553
5,65.4000,0.0321,0.1553
5,64.5000,0.0331,0.1650
5,63.5000,0.0340,0.1748
5,62.8000,0.0349,0.1748
5,61.9000,0.0358,0.1845
5,61.0000,0.0366,0.1942
5,60.0000,0.0374,0.2039
5,59.1000,0.0384,0.2136
5,58.3000,0.0392,0.2136
5,57.4000,0.0401,0.2330
5,56.2000,0.0410,0.2427
5,55.5000,0.0418,0.2427
5,54.9000,0.0427,0.2427
5,54.2000,0.0437,0.2621
5,53.5000,0.0445,0.2816
5,52.9000,0.0455,0.2913
5,52.2000,0.0462,0.3107
5,51.4000,0.0471,0.3107
5,50.7000,0.0479,0.3204
5,50.0000,0.0488,0.3398
