window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,17.7000,13,572,90,26718,0.1262,0.9778,0.0193,0.0316,0.0161,0.0210
1,18.1000,13,546,90,26744,0.1262,0.9767,0.0200,0.0331,0.0168,0.0200
1,18.3000,13,533,90,26757,0.1262,0.9762,0.0204,0.0339,0.0173,0.0195
1,18.6000,13,513,90,26777,0.1262,0.9753,0.0211,0.0353,0.0180,0.0188
1,18.9000,13,495,90,26795,0.1262,0.9744,0.0217,0.0365,0.0186,0.0181
1,19.3000,13,473,90,26817,0.1262,0.9733,0.0226,0.0382,0.0195,0.0173
1,19.7000,13,453,90,26837,0.1262,0.9721,0.0234,0.0398,0.0203,0.0166
1,20.2000,13,437,90,26853,0.1262,0.9711,0.0241,0.0411,0.0210,0.0160
1,20.6000,13,415,90,26875,0.1262,0.9696,0.0251,0.0432,0.0221,0.0152
1,21.0000,13,394,90,26896,0.1262,0.9681,0.0262,0.0453,0.0231,0.0144
1,21.4000,13,377,90,26913,0.1262,0.9667,0.0271,0.0471,0.0241,0.0138
1,21.9000,13,356,90,26934,0.1262,0.9648,0.0283,0.0495,0.0254,0.0130
1,22.5000,13,337,90,26953,0.1262,0.9629,0.0295,0.0519,0.0266,0.0123
1,22.9000,11,320,92,26970,0.1068,0.9668,0.0260,0.0452,0.0231,0.0117
1,23.4000,10,302,93,26988,0.0971,0.9679,0.0247,0.0428,0.0219,0.0111
1,24.1000,9,284,94,27006,0.0874,0.9693,0.0233,0.0401,0.0205,0.0104
1,24.7000,9,265,94,27025,0.0874,0.9672,0.0245,0.0425,0.0217,0.0097
1,25.2000,7,247,96,27043,0.0680,0.9724,0.0200,0.0340,0.0173,0.0091
1,25.7000,6,227,97,27063,0.0583,0.9742,0.0182,0.0307,0.0156,0.0083
1,26.6000,6,209,97,27081,0.0583,0.9721,0.0192,0.0328,0.0167,0.0077
1,27.3000,5,189,98,27101,0.0485,0.9742,0.0171,0.0289,0.0147,0.0069
1,28.3000,4,171,99,27119,0.0388,0.9771,0.0146,0.0242,0.0122,0.0063
1,29.6000,2,153,101,27137,0.0194,0.9871,0.0078,0.0110,0.0055,0.0056
1,30.2000,1,136,102,27154,0.0097,0.9927,0.0042,0.0041,0.0020,0.0050
1,31.8000,1,116,102,27174,0.0097,0.9915,0.0046,0.0051,0.0026,0.0043
1,33.2000,1,96,102,27194,0.0097,0.9897,0.0050,0.0064,0.0032,0.0035
1,34.8000,1,76,102,27214,0.0097,0.9870,0.0056,0.0079,0.0040,0.0028
1,36.7000,1,58,102,27232,0.0097,0.9831,0.0062,0.0096,0.0048,0.0021
1,39.4000,0,39,103,27251,0.0000,1.0000,0.0000,-0.0021,-0.0010,0.0014
